Dias;IndiaC;IndiaM
Dia -263;0;0
Dia -262;0;0
Dia -261;0;0
Dia -260;0;0
Dia -259;0;0
Dia -258;0;0
Dia -257;0;0
Dia -256;0;0
Dia -255;1;0
Dia -254;1;0
Dia -253;1;0
Dia -252;2;0
Dia -251;3;0
Dia -250;3;0
Dia -249;3;0
Dia -248;3;0
Dia -247;3;0
Dia -246;3;0
Dia -245;3;0
Dia -244;3;0
Dia -243;3;0
Dia -242;3;0
Dia -241;3;0
Dia -240;3;0
Dia -239;3;0
Dia -238;3;0
Dia -237;3;0
Dia -236;3;0
Dia -235;3;0
Dia -234;3;0
Dia -233;3;0
Dia -232;3;0
Dia -231;3;0
Dia -230;3;0
Dia -229;3;0
Dia -228;3;0
Dia -227;3;0
Dia -226;3;0
Dia -225;3;0
Dia -224;3;0
Dia -223;5;0
Dia -222;5;0
Dia -221;28;0
Dia -220;30;0
Dia -219;31;0
Dia -218;34;0
Dia -217;39;0
Dia -216;43;0
Dia -215;56;0
Dia -214;62;1
Dia -213;73;1
Dia -212;82;2
Dia -211;102;2
Dia -210;113;2
Dia -209;119;2
Dia -208;142;3
Dia -207;156;3
Dia -206;194;4
Dia -205;244;5
Dia -204;330;4
Dia -203;396;7
Dia -202;499;10
Dia -201;536;10
Dia -200;657;12
Dia -199;727;20
Dia -198;887;20
Dia -197;987;24
Dia -196;1024;27
Dia -195;1251;32
Dia -194;1397;35
Dia -193;1998;58
Dia -192;2543;72
Dia -191;2567;72
Dia -190;3082;86
Dia -189;3588;99
Dia -188;4778;136
Dia -187;5311;150
Dia -186;5916;178
Dia -185;6725;226
Dia -184;7598;246
Dia -183;8446;288
Dia -182;9205;331
Dia -181;10453;358
Dia -180;11487;393
Dia -179;12322;405
Dia -178;13430;448
Dia -177;14352;486
Dia -176;15722;521
Dia -175;17615;559
Dia -174;18539;592
Dia -173;20080;645
Dia -172;21370;681
Dia -171;23077;721
Dia -170;24530;780
Dia -169;26283;825
Dia -168;27890;881
Dia -167;29451;939
Dia -166;31324;1008
Dia -165;33062;1079
Dia -164;34863;1154
Dia -163;37257;1223
Dia -162;39699;1323
Dia -161;42505;1391
Dia -160;46437;1566
Dia -159;49400;1693
Dia -158;52987;1785
Dia -157;56351;1889
Dia -156;59695;1985
Dia -155;62808;2101
Dia -154;67161;2212
Dia -153;70768;2294
Dia -152;74292;2415
Dia -151;78055;2551
Dia -150;81997;2649
Dia -149;85784;2753
Dia -148;90648;2871
Dia -147;95698;3025
Dia -146;100328;3156
Dia -145;106475;3302
Dia -144;112028;3434
Dia -143;118226;3584
Dia -142;124794;3726
Dia -141;131423;3868
Dia -140;138536;4024
Dia -139;144950;4172
Dia -138;150793;4344
Dia -137;158086;4534
Dia -136;165386;4711
Dia -135;173491;4980
Dia -134;181827;5185
Dia -133;190609;5408
Dia -132;198370;5608
Dia -131;207191;5829
Dia -130;216824;6088
Dia -129;226713;6363
Dia -128;236184;6649
Dia -127;246622;6946
Dia -126;257486;7207
Dia -125;265928;7473
Dia -124;276146;7750
Dia -123;286605;8102
Dia -122;297535;8498
Dia -121;308993;8884
Dia -120;320922;9195
Dia -119;332424;9520
Dia -118;343091;9900
Dia -117;354065;11903
Dia -116;366946;12237
Dia -115;380532;12573
Dia -114;395048;12948
Dia -113;410451;13254
Dia -112;425282;13699
Dia -111;440215;14011
Dia -110;456183;14476
Dia -109;473105;14894
Dia -108;490401;15301
Dia -107;508953;15685
Dia -106;528859;16095
Dia -105;548318;16475
Dia -104;566840;16893
Dia -103;585481;17400
Dia -102;604641;17834
Dia -101;625544;18213
Dia -100;648315;18655
Dia -99;673165;19268
Dia -98;697413;19693
Dia -97;719664;20159
Dia -96;742417;20642
Dia -95;767296;21129
Dia -94;793802;21604
Dia -93;820916;22123
Dia -92;849522;22673
Dia -91;878254;23174
Dia -90;906752;23727
Dia -89;936181;24309
Dia -88;968857;24914
Dia -87;1003832;25602
Dia -86;1039084;26273
Dia -85;1077781;26816
Dia -84;1118206;27497
Dia -83;1155338;28082
Dia -82;1193078;28732
Dia -81;1238798;29861
Dia -80;1288108;30601
Dia -79;1337024;31358
Dia -78;1385635;32060
Dia -77;1435616;32771
Dia -76;1480073;33408
Dia -75;1531669;34193
Dia -74;1581963;34955
Dia -73;1634746;35718
Dia -72;1695988;36511
Dia -71;1750723;37364
Dia -70;1803695;38135
Dia -69;1855745;38938
Dia -68;1908254;39795
Dia -67;1964536;40699
Dia -66;2027074;41585
Dia -65;2088611;42518
Dia -64;2153010;43379
Dia -63;2215074;44386
Dia -62;2268675;45257
Dia -61;2329638;46091
Dia -60;2396637;47033
Dia -59;2461190;48040
Dia -58;2525922;49036
Dia -57;2589952;49980
Dia -56;2647663;50921
Dia -55;2702681;51797
Dia -54;2767253;52888
Dia -53;2836925;53866
Dia -52;2905825;54849
Dia -51;2975701;55794
Dia -50;3044940;56706
Dia -49;3106348;57542
Dia -48;3167323;58390
Dia -47;3224547;59357
Dia -46;3310234;60472
Dia -45;3387500;61529
Dia -44;3463972;62550
Dia -43;3542733;63498
Dia -42;3621245;64469
Dia -41;3691166;65288
Dia -40;3769523;66333
Dia -39;3853406;67376
Dia -38;3936747;68472
Dia -37;4023179;69561
Dia -36;4113811;70626
Dia -35;4204613;71642
Dia -34;4280422;72775
Dia -33;4370128;73890
Dia -32;4465863;75062
Dia -31;4562414;76271
Dia -30;4659984;77472
Dia -29;4754356;78586
Dia -28;4846427;79722
Dia -27;4930236;80776
Dia -26;5020359;82066
Dia -25;5118253;83198
Dia -24;5214677;84372
Dia -23;5308014;85619
Dia -22;5400619;86752
Dia -21;5487580;87882
Dia -20;5562663;88935
Dia -19;5646010;90020
Dia -18;5732518;91149
Dia -17;5818570;92290
Dia -16;5903932;93379
Dia -15;5992532;94503
Dia -14;6074702;95542
Dia -13;6145291;96318
